batch,sort,QID,PROPERTY,VALUE, admin note,date enhanced,method,note
1,126,Q819,P11,Q18807,associate Linking Lost Jazz Shrines project with Blue Mitchell,4/1/2020,manual,
1,127,Q821,P8,"""Q942060""",add wikidata QID for Kid Gavilan,4/1/2020,manual,
1,128,Q821,P9,https://www.wikidata.org/wiki/Q942060,add wikidata URI for Kid Gavilan,4/1/2020,manual,
1,129,Q831,P11,Q18807,associate Linking Lost Jazz Shrines project with Arnett Cobb,4/1/2020,manual,
1,130,Q846,P8,"""Q20988615""",add wikidata QID for Reginald Buckner,4/1/2020,manual,
1,131,Q846,P9,https://www.wikidata.org/wiki/Q20988615,add wikidata URI for Reginald Buckner,4/1/2020,manual,
1,132,Q89,P8,"""Q5495929""",add wikidata QID for Freddy Mendelsohn,4/1/2020,manual,
1,133,Q89,P9,https://www.wikidata.org/wiki/Q5495929,add wikidata URI for Freddy Mendelsohn,4/1/2020,manual,
1,134,Q90,P11,Q18807,associate Linking Lost Jazz Shrines project with Charles Mingus,4/1/2020,manual,
1,135,Q95,P11,Q18807,associate Linking Lost Jazz Shrines project with Big Maybelle,4/1/2020,manual,
1,136,Q958,P8,"""Q1719821""",add wikidata QID for Melissa Walker,4/1/2020,manual,
1,137,Q958,P9,https://www.wikidata.org/wiki/Q1719821,add wikidata URI for Melissa Walker,4/1/2020,manual,
1,138,Q973,P11,Q18807,associate Linking Lost Jazz Shrines project with Dakota Staton,4/1/2020,manual,
1,139,Q979,Aen,"""Harry ""Sweets"" Edison""",add alias for Harry Edison,4/1/2020,manual,
1,140,Q979,Aen,"""Sweets Edison""",add alias for Harry Edison,4/1/2020,manual,
1,141,Q983,P8,"""Q56221282""",add wikidata QID for Paul Broadnax,4/1/2020,manual,
1,142,Q983,P9,https://www.wikidata.org/wiki/Q56221282,add wikidata URI for Paul Broadnax,4/1/2020,manual,
1,143,Q101,P11,Q18807,associate Linking Lost Jazz Shrines project with Louis Armstrong,4/3/2020,manual,
1,144,Q1090,P11,Q18807,associate Linking Lost Jazz Shrines project with J.J. Johnson,4/3/2020,manual,
1,145,Q1098,P11,Q18807,associate Linking Lost Jazz Shrines project with Wynton Kelly,4/3/2020,manual,
1,146,Q1103,P11,Q18807,associate Linking Lost Jazz Shrines project with Kenny Durham,4/3/2020,manual,
1,147,Q1121,P11,Q18807,associate Linking Lost Jazz Shrines project with Percy Heath,4/3/2020,manual,
1,148,Q12,P11,Q18807,associate Linking Lost Jazz Shrines project with Lester Young,4/3/2020,manual,
