batch, admin sort,QID,PROPERTY,VALUE, admin note,QID,date enhanced,method
1,177,Q18941,Aen,"""Ed Stoute""",add alias,Q18941,4/3/2020,manual
1,178,Q18942,Len,"""Elaine Applin""",add label,Q18942,4/3/2020,manual
1,179,Q18943,Len,"""Ernie Henry""",add label,Q18943,4/3/2020,manual
1,180,Q18944,Len,"""Etta Jones""",add label,Q18944,4/3/2020,manual
1,181,Q18945,Len,"""Fab Five Freddy""",add label,Q18945,4/3/2020,manual
1,182,Q18945,Aen,"""Fred Braithwaite, Jr.""",add alias,Q18945,4/3/2020,manual
1,183,Q18945,Aen,"""Freddy ""Fab Five Freddy"" Braithwaite""",add alias,Q18945,4/3/2020,manual
1,184,Q18945,Aen,Freddy Braithwaite,add alias,Q18945,4/3/2020,manual
1,185,Q18946,Len,"""Frankie Lyman""",add label,Q18946,4/3/2020,manual
1,186,Q18947,Len,"""Fred Braithwaite, Sr.""",add label,Q18947,4/3/2020,manual
1,187,Q18948,Len,"""Freddie Cole""",add label,Q18948,4/3/2020,manual
1,188,Q18949,Len,"""Gary Bartz""",add label,Q18949,4/3/2020,manual
1,189,Q18950,Len,"""Gil Coggins""",add label,Q18950,4/3/2020,manual
1,190,Q18951,Len,"""Grant Green""",add label,Q18951,4/3/2020,manual
1,191,Q18952,Len,"""Haki R. Madhubuti""",add label,Q18952,4/3/2020,manual
1,192,Q18952,Aen,"""Don Lee""",add alias,Q18952,4/3/2020,manual
1,193,Q18952,Aen,"""Donald Lee""",add alias,Q18952,4/3/2020,manual
1,194,Q18952,Aen,"""Haki Madhubuti""",add alias,Q18952,4/3/2020,manual
1,195,Q18953,Len,"""Harold Cumberbatch""",add label,Q18953,4/3/2020,manual
1,196,Q18954,Len,"""Harold Mabern""",add label,Q18954,4/3/2020,manual
1,197,Q18955,Len,"""Harold Valle""",add label,Q18955,4/3/2020,manual
1,198,Q18956,Len,"""Irvin Burgie""",add label,Q18956,4/3/2020,manual
1,199,Q18957,Len,"""James Spaulding""",add label,Q18957,4/3/2020,manual
1,200,Q18957,Aen,"""Jimmy Spaulding""",add alias,Q18957,4/3/2020,manual
1,201,Q18958,Len,"""James Sykes""",add label,Q18958,4/3/2020,manual
1,202,Q18959,Len,"""Jean Cam""",add label,Q18959,4/3/2020,manual
1,203,Q18960,Len,"""Jean Carn""",add label,Q18960,4/3/2020,manual
1,204,Q18960,Aen,"""Jean Carne""",add alias,Q18960,4/3/2020,manual
1,205,Q18961,Len,"""Jean Michel Basquiat""",add label,Q18961,4/3/2020,manual
1,206,Q18962,Len,"""Jean Spaulding""",add label,Q18962,4/3/2020,manual
1,207,Q18963,Len,"""Jennifer Scott""",add label,Q18963,4/3/2020,manual
1,208,Q18964,Len,"""Jim Harrison""",add label,Q18964,4/3/2020,manual
1,209,Q18965,Len,"""Jimmy Gittens""",add label,Q18965,4/3/2020,manual
1,210,Q18966,Len,"""Jimmy Morton""",add label,Q18966,4/3/2020,manual
1,211,Q18967,Len,"""Jitu Weusi""",add label,Q18967,4/3/2020,manual
1,212,Q18967,Aen,"""Big Black Weusi""",add alias,Q18967,4/3/2020,manual
1,213,Q18967,Aen,"""Big Black""",add alias,Q18967,4/3/2020,manual
1,214,Q18967,Aen,"""Jitu ""Big Black"" Weusi""",add alias,Q18967,4/3/2020,manual
1,215,Q18967,Aen,"""Leslie R. Campbell""",add alias,Q18967,4/3/2020,manual
1,216,Q18968,Len,"""Jo Ann Cheatham""",add label,Q18968,4/3/2020,manual
1,217,Q18969,Len,"""Joe Carroll""",add label,Q18969,4/3/2020,manual
1,218,Q18970,Len,"""Joe Knight""",add label,Q18970,4/3/2020,manual
1,219,Q18970,Aen,"""Earl Knight""",add alias,Q18970,4/3/2020,manual
1,220,Q18971,Len,"""Joe Long""",add label,Q18971,4/3/2020,manual
1,221,Q18972,Len,"""John Orr""",add label,Q18972,4/3/2020,manual
1,222,Q18973,Len,"""John Stevenson""",add label,Q18973,4/3/2020,manual
1,223,Q18974,Len,"""Jymie Merritt""",add label,Q18974,4/3/2020,manual
