batch, admin sort,QID,PROPERTY,VALUE, admin note,date enhanced,method
1,122,Q979,P11,Q18807,associate Linking Lost Jazz Shrines project with Harry Edison,4/3/2020,manual
1,123,Q129,P11,Q18807,associate Linking Lost Jazz Shrines project with Harry Belafonte,4/3/2020,manual
1,124,Q936,P11,Q18807,associate Linking Lost Jazz Shrines project with Herbie Mann,4/3/2020,manual
1,125,Q331,P11,Q18807,associate Linking Lost Jazz Shrines project with Horace Silver,4/3/2020,manual
1,126,Q968,P11,Q18807,associate Linking Lost Jazz Shrines project with Houston Person,4/3/2020,manual
1,127,Q457,P11,Q18807,associate Linking Lost Jazz Shrines project with Howard McGhee,4/3/2020,manual
1,128,Q1090,P11,Q18807,associate Linking Lost Jazz Shrines project with J.J. Johnson,4/3/2020,manual
1,129,Q365,P11,Q18807,associate Linking Lost Jazz Shrines project with Jackie McLean,4/3/2020,manual
1,130,Q30,P11,Q18807,associate Linking Lost Jazz Shrines project with Jaki Byard,4/3/2020,manual
1,131,Q1834,P11,Q18807,associate Linking Lost Jazz Shrines project with James Baldwin,4/3/2020,manual
1,132,Q126,P11,Q18807,associate Linking Lost Jazz Shrines project with James Brown,4/3/2020,manual
1,133,Q924,P11,Q18807,associate Linking Lost Jazz Shrines project with Jimmy Cobb,4/3/2020,manual
1,134,Q873,P11,Q18807,associate Linking Lost Jazz Shrines project with Joanne Brackeen,4/3/2020,manual
1,135,Q746,P11,Q18807,associate Linking Lost Jazz Shrines project with Joe Louis,4/3/2020,manual
1,136,Q2018,P11,Q18807,associate Linking Lost Jazz Shrines project with Joe Williams,4/3/2020,manual
1,137,Q33,P11,Q18807,associate Linking Lost Jazz Shrines project with John Coltrane,4/3/2020,manual
1,138,Q413,P11,Q18807,associate Linking Lost Jazz Shrines project with Kenny Burrell,4/3/2020,manual
1,139,Q1103,P11,Q18807,associate Linking Lost Jazz Shrines project with Kenny Durham,4/3/2020,manual
1,140,Q325,P11,Q18807,associate Linking Lost Jazz Shrines project with King Curtis,4/3/2020,manual
1,141,Q1783,P11,Q18807,associate Linking Lost Jazz Shrines project with King Pleasure,4/3/2020,manual
1,142,Q1567,P11,Q18807,associate Linking Lost Jazz Shrines project with Lee Blair,4/3/2020,manual
1,143,Q959,P11,Q18807,associate Linking Lost Jazz Shrines project with Lee Morgan,4/3/2020,manual
1,144,Q46,P11,Q18807,associate Linking Lost Jazz Shrines project with Howard McGhee,4/3/2020,manual
1,145,Q468,P11,Q18807,associate Linking Lost Jazz Shrines project with Lenny White,4/3/2020,manual
1,146,Q12,P11,Q18807,associate Linking Lost Jazz Shrines project with Lester Young,4/3/2020,manual
1,147,Q39,P11,Q18807,associate Linking Lost Jazz Shrines project with Lionel Hampton,4/3/2020,manual
1,148,Q663,P11,Q18807,associate Linking Lost Jazz Shrines project with Slide Hampton,4/3/2020,manual
1,149,Q1737,P11,Q18807,associate Linking Lost Jazz Shrines project with Lou Donaldson,4/3/2020,manual
