item,itemLabel
http://base.semlab.io/entity/Q347,Eubie Blake
http://base.semlab.io/entity/Q348,Eva Jessye
http://base.semlab.io/entity/Q349,Bill Hughes
http://base.semlab.io/entity/Q350,Anne Brown
http://base.semlab.io/entity/Q351,Budd Johnson
http://base.semlab.io/entity/Q352,Ted Briscoe
http://base.semlab.io/entity/Q353,Frank Foster
http://base.semlab.io/entity/Q354,Joe Booker
http://base.semlab.io/entity/Q355,Sammy Davis Jr
http://base.semlab.io/entity/Q356,Gus Haynes
http://base.semlab.io/entity/Q357,Bobby Tucker
http://base.semlab.io/entity/Q358,Johnny Hodges
http://base.semlab.io/entity/Q359,Edgar Bateman
http://base.semlab.io/entity/Q360,Joe Newman
http://base.semlab.io/entity/Q361,Kenny Clarke
http://base.semlab.io/entity/Q362,Art Taylor
http://base.semlab.io/entity/Q363,Bunk Johnson
http://base.semlab.io/entity/Q364,Terri Lyne Carrington
http://base.semlab.io/entity/Q365,Jackie McLean
http://base.semlab.io/entity/Q366,Argonne Thornton
http://base.semlab.io/entity/Q367,Lee Nevilles
http://base.semlab.io/entity/Q368,Sahib Shihab
http://base.semlab.io/entity/Q369,Shadow Wilson
http://base.semlab.io/entity/Q370,Clifford Brown
http://base.semlab.io/entity/Q371,Joe Benjamin
http://base.semlab.io/entity/Q372,Ringo Starr
http://base.semlab.io/entity/Q373,Ronnell Bright
http://base.semlab.io/entity/Q374,Carl Schroeder
http://base.semlab.io/entity/Q375,Sam Woodyard
http://base.semlab.io/entity/Q376,Sabby Lewis
http://base.semlab.io/entity/Q377,Max Gordon
http://base.semlab.io/entity/Q378,Panama Francis
http://base.semlab.io/entity/Q379,Jack DeJohnette
http://base.semlab.io/entity/Q380,Hannibal Peterson
http://base.semlab.io/entity/Q381,Bob Elliott
http://base.semlab.io/entity/Q382,Clarence Johnson
http://base.semlab.io/entity/Q383,Bobby Watson
http://base.semlab.io/entity/Q384,Miroslav Vitous
http://base.semlab.io/entity/Q385,Jackie Parker
http://base.semlab.io/entity/Q386,Erskine Hawkins
