entity-alpha-sort,wikidata-label,entity-type,wikidata-uri,loc-id,musicbrainz-id,snac-ark-id,wikidata-id,in-lj-dataset
"Little, Booker",Booker Little,Person,https://www.wikidata.org/entity/Q892997,n92016496,f2008882-e914-4c8a-a3fe-272833ecca94,w6kt4nq5,Q892997,Yes
"McLean, Jackie",Jackie McLean,Person,https://www.wikidata.org/entity/Q920490,n81058255,5b6993ef-14af-4374-aa91-d42622b133d1,w68m4nzf,Q920490,Yes
"Miller, Walt",Walt Miller,Person,https://www.wikidata.org/entity/Q65554921,,,,Q65554921,
"Mitchell, Blue",Blue Mitchell,Person,https://www.wikidata.org/entity/Q885774,n81026540,ee287f2c-b209-4edf-acbd-c2fa23e8da40,w68p7q9k,Q885774,Yes
"Mobley, Hank",Hank Mobley,Person,https://www.wikidata.org/entity/Q534842,n81026539,026b096e-e024-42ab-82f3-107bddae77c2,w6vt4g4z,Q534842,Yes
"Morgan, Lee",Lee Morgan,Person,https://www.wikidata.org/entity/Q362564,n81058254,a1235272-3650-4ed7-9317-5a55a08701ec,w6m92b80,Q362564,Yes
"Parker, Paul",Paul Parker,Person,https://www.wikidata.org/entity/Q65554922,no97052425,582702f7-e1a3-4bd9-ac1c-81bc91377eee,,Q65554922,
"Perkins, Walter",Walter Perkins,Person,https://www.wikidata.org/entity/Q355582,nr90019586,32407d0c-0f94-47d2-b96a-abe6a12478ea,w6ds76w8,Q355582,
"Plank, Al",Al Plank,Person,https://www.wikidata.org/entity/Q65554923,n94001559,fdb805fd-ec22-4c1f-a8dd-21ea90095b8e,,Q65554923,
"Ray, Daniel ""Big Black""","Danny ""Big Black"" Rey",Person,https://www.wikidata.org/entity/Q858535,n83127104,e9854b7a-1ebd-4089-b167-1c857a0b1ba9,,Q858535,
"Rhyne, Mel",Melvin Rhyne,Person,https://www.wikidata.org/entity/Q1919793,n92017120,d07ac056-8e11-4fe8-8e0c-11d591800fa8,w6hg1gn0,Q1919793,
"Serrano, Paul",Paul Serrano,Person,https://www.wikidata.org/entity/Q18918580,no93033590,7ab69221-b297-46da-8d2a-48b6b3aef78d,,Q18918580,
"Strozier, Frank",Frank Strozier,Person,https://www.wikidata.org/entity/Q1444274,n81002387,605ebbf0-0063-4c7a-b41a-65155041f61b,w6hb2m21,Q1444274,Yes
"Thomas, Willie",Willie Thomas,Person,https://www.wikidata.org/entity/Q23008738,,9ff10fac-5fab-4287-964c-9417f14ec84f,,Q23008738,
Akbar Hall (Sonya Ballroom),Sonia Ballroom,Venue,https://www.wikidata.org/entity/Q65548662,,,,Q65548662,
Birdland,Birdland,Venue,https://www.wikidata.org/entity/Q256347,n2010028573,578aeeca-1616-49b2-9ff9-9808a9b287fa,w6k98gwp,Q256347,
"Blair, Roslyn",Roslyn Blair,Person,https://www.wikidata.org/entity/Q65554924,,,,Q65554924,
"Carn, Doug",Doug Carn,Person,https://www.wikidata.org/entity/Q2787266,n95010466,44ba7dbf-c18d-4a35-9513-f554c1041266,,Q2787266,
"Carn, Jean",Jean Carne,Person,https://www.wikidata.org/entity/Q6170374,n91059783,ffea09ad-3399-48e0-a907-a2651770a726,,Q6170374,
